,tempo,cor1_x,cor1_y,cor2_x,cor2_y
86,0.436537147,0.0,-0.000170358,-0.015672913,0.01584327
87,0.441613168,0.0,-0.000170358,-0.015672913,0.015672913
88,0.446689159,0.0,-0.000170358,-0.015672913,0.015672913
89,0.45176518,0.0,-0.000170358,-0.015502555,0.015672913
90,0.456841201,0.0,-0.000170358,-0.015502555,0.015672913
91,0.461917222,0.0,-0.000170358,-0.015672913,0.015672913
92,0.466993213,0.0,-0.000170358,-0.01584327,0.016013628
93,0.472069234,0.0,-0.000170358,-0.016183985,0.016183985
94,0.477145255,0.0,-0.000170358,-0.016183985,0.016183985
95,0.482221276,0.0,-0.000170358,-0.016013628,0.016013628
96,0.487297267,0.0,-0.000170358,-0.015672913,0.01584327
97,0.492373288,0.0,-0.000170358,-0.015502555,0.015672913
98,0.497449309,0.0,-0.000170358,-0.015502555,0.015502555
99,0.50252533,0.0,-0.000170358,-0.015502555,0.015672913
100,0.507601321,0.0,-0.000170358,-0.015672913,0.01584327
101,0.512677372,0.0,-0.000170358,-0.015672913,0.01584327
102,0.517753363,0.0,-0.000170358,-0.01584327,0.01584327
103,0.522829354,0.0,-0.000170358,-0.015672913,0.015672913
104,0.527905405,0.0,-0.000170358,-0.015672913,0.015672913
105,0.532981396,0.0,-0.000170358,-0.015332198,0.015502555
106,0.538057387,0.0,-0.000170358,-0.015332198,0.015502555
107,0.543133438,0.0,-0.000170358,-0.015502555,0.015672913
108,0.548209429,0.0,-0.000170358,-0.015672913,0.01584327
109,0.55328548,0.0,-0.000170358,-0.01584327,0.01584327
110,0.558361471,0.0,-0.000170358,-0.016013628,0.016013628
111,0.563437462,0.0,-0.000170358,-0.01584327,0.016013628
112,0.568513513,0.0,-0.000170358,-0.015672913,0.01584327
113,0.573589504,0.0,-0.000170358,-0.015672913,0.015672913
114,0.578665495,0.0,-0.0,-0.015502555,0.015672913
115,0.583741546,0.0,-0.0,-0.015502555,0.015672913
116,0.588817537,0.0,-0.0,-0.015502555,0.015672913
117,0.593893588,0.0,-0.0,-0.015502555,0.015672913
118,0.598969579,0.0,-0.0,-0.015672913,0.015672913
119,0.60404557,0.0,-0.0,-0.015672913,0.015502555
120,0.609121621,-0.000170358,-0.0,-0.015332198,0.015502555
121,0.614197612,0.0,-0.0,-0.015332198,0.015502555
122,0.619273603,0.0,-0.0,-0.015332198,0.015502555
123,0.624349654,0.0,-0.0,-0.015161839,0.015332197
124,0.629425645,0.0,-0.0,-0.015332198,0.015502555
125,0.634501696,0.0,-0.0,-0.015672913,0.015672913
126,0.639577687,0.0,-0.0,-0.015672913,0.015672913
127,0.644653678,0.0,-0.0,-0.015672913,0.01584327
128,0.649729729,0.0,-0.0,-0.015672913,0.015672913
129,0.65480572,0.0,-0.0,-0.015672913,0.015672913
130,0.659881711,0.0,-0.0,-0.015332198,0.015502555
131,0.664957762,0.0,-0.0,-0.015161839,0.015332197
132,0.670033753,0.0,-0.0,-0.015332198,0.015502555
133,0.675109744,0.0,-0.0,-0.015332198,0.015502555
134,0.680185795,0.0,-0.0,-0.015502555,0.015672913
135,0.685261786,0.0,-0.0,-0.015672913,0.015672913
136,0.690337837,0.0,-0.0,-0.015672913,0.01584327
137,0.695413828,0.0,-0.0,-0.015502555,0.01584327
138,0.700489819,0.0,-0.0,-0.015502555,0.015672913
139,0.70556587,0.0,-0.0,-0.015502555,0.015672913
140,0.710641861,0.0,-0.0,-0.01584327,0.01584327
141,0.715717852,0.0,-0.0,-0.01584327,0.01584327
142,0.720793903,0.0,-0.0,-0.01584327,0.016013628
143,0.725869894,0.0,-0.0,-0.01584327,0.016013628
144,0.730945945,0.0,-0.0,-0.01584327,0.01584327
145,0.736021936,0.0,-0.0,-0.01584327,0.01584327
146,0.741097927,0.0,-0.0,-0.015672913,0.01584327
147,0.746173978,0.0,0.000170358,-0.01584327,0.01584327
148,0.751249969,0.0,-0.0,-0.015672913,0.01584327
149,0.75632596,0.0,0.000170358,-0.015502555,0.015672913
150,0.761402011,0.0,0.000170358,-0.015502555,0.015672913
151,0.766478002,0.0,0.000170358,-0.015672913,0.015672913
152,0.771554053,0.0,0.000170358,-0.01584327,0.01584327
153,0.776630044,0.0,0.000170358,-0.01584327,0.016013628
154,0.781706035,0.0,0.000170358,-0.01584327,0.01584327
155,0.786782086,0.0,0.000170358,-0.015672913,0.01584327
156,0.791858077,0.0,0.000340715,-0.015672913,0.01584327
157,0.796934068,0.0,0.000340715,-0.015672913,0.01584327
158,0.802010119,0.0,0.000340715,-0.01584327,0.01584327
159,0.80708611,0.0,0.000340715,-0.015672913,0.015672913
160,0.812162161,0.0,0.000340715,-0.015502555,0.015672913
161,0.817238152,0.0,0.000340715,-0.015502555,0.015672913
162,0.822314143,0.0,0.000340715,-0.015502555,0.01584327
163,0.827390194,0.0,0.000340715,-0.015672913,0.01584327
164,0.832466185,0.0,0.000340715,-0.015672913,0.01584327
165,0.837542176,0.0,0.000340715,-0.015672913,0.015672913
166,0.842618227,0.0,0.000511073,-0.015672913,0.015672913
167,0.847694218,0.0,0.000511073,-0.015672913,0.015672913
168,0.852770269,0.0,0.000511073,-0.015672913,0.01584327
169,0.85784626,0.0,0.000511073,-0.015502555,0.01584327
170,0.862922251,0.0,0.000511073,-0.015502555,0.015672913
171,0.867998302,0.0,0.000511073,-0.015672913,0.015672913
172,0.873074293,0.0,0.000511073,-0.015672913,0.015672913
173,0.878150284,0.0,0.000681431,-0.015672913,0.015672913
174,0.883226335,0.000170358,0.000681431,-0.015502555,0.015672913
175,0.888302326,0.000170358,0.000681431,-0.015332198,0.015502555
176,0.893378317,0.000170358,0.000681431,-0.015332198,0.015502555
177,0.898454368,0.0,0.000681431,-0.015332198,0.015672913
178,0.903530359,0.0,0.000681431,-0.015502555,0.015672913
179,0.90860641,0.000170358,0.000681431,-0.015502555,0.01584327
180,0.913682401,0.000170358,0.000681431,-0.015672913,0.015672913
181,0.918758392,0.000170358,0.000851789,-0.015672913,0.015672913
182,0.923834443,0.000170358,0.000851789,-0.015672913,0.015672913
183,0.928910434,0.000170358,0.000851789,-0.015672913,0.015502555
184,0.933986425,0.000170358,0.000851789,-0.015332198,0.015502555
185,0.939062476,0.000170358,0.000851789,-0.015161839,0.015502555
186,0.944138467,0.000170358,0.000851789,-0.015161839,0.015332197
187,0.949214518,0.000170358,0.001022146,-0.015161839,0.015332197
188,0.954290509,0.000170358,0.001022146,-0.015502555,0.015672913
189,0.9593665,0.000170358,0.001022146,-0.015672913,0.015672913
190,0.964442551,0.000170358,0.001192504,-0.015672913,0.01584327
191,0.969518542,0.000170358,0.001192504,-0.015502555,0.015672913
192,0.974594533,0.000170358,0.001192504,-0.015502555,0.015672913
193,0.979670584,0.000170358,0.001192504,-0.015502555,0.015672913
194,0.984746575,0.000170358,0.001362862,-0.015502555,0.01584327
195,0.989822626,0.000170358,0.00153322,-0.015672913,0.01584327
196,0.994898617,0.000170358,0.001362862,-0.015672913,0.01584327
197,0.999974608,0.000170358,0.00153322,-0.015502555,0.01584327
198,1.005050659,0.000170358,0.001703577,-0.015672913,0.015672913
199,1.01012671,0.000340715,0.001703577,-0.015502555,0.01584327
200,1.015202641,0.000340715,0.001703577,-0.015502555,0.015672913
201,1.020278692,0.000340715,0.001873935,-0.015161839,0.015502555
202,1.025354743,0.000340715,0.001873935,-0.015161839,0.015502555
203,1.030430675,0.000340715,0.001873935,-0.015502555,0.015672913
204,1.035506725,0.000340715,0.001873935,-0.015672913,0.01584327
205,1.040582776,0.000340715,0.002044293,-0.01584327,0.016183985
206,1.045658708,0.000340715,0.002044293,-0.01584327,0.016183985
207,1.050734758,0.000340715,0.002044293,-0.01584327,0.016013628
208,1.055810809,0.000340715,0.002214651,-0.015672913,0.01584327
209,1.060886741,0.000340715,0.002385008,-0.015672913,0.016013628
210,1.065962791,0.000340715,0.002385008,-0.01584327,0.016013628
211,1.071038842,0.000511073,0.002555366,-0.015672913,0.016013628
212,1.076114774,0.000511073,0.002555366,-0.015672913,0.01584327
213,1.081190825,0.000511073,0.002725724,-0.015672913,0.016013628
214,1.086266875,0.000511073,0.002725724,-0.01584327,0.01584327
215,1.091342807,0.000511073,0.002896082,-0.01584327,0.016013628
216,1.096418858,0.000511073,0.002896082,-0.015672913,0.016013628
217,1.101494908,0.000511073,0.003066439,-0.015502555,0.01584327
218,1.106570959,0.000511073,0.003066439,-0.015502555,0.015672913
219,1.111646891,0.000511073,0.003236797,-0.015332198,0.015672913
220,1.116722941,0.000511073,0.003407155,-0.015502555,0.01584327
221,1.121798992,0.000511073,0.003407155,-0.015672913,0.015672913
222,1.126874924,0.000511073,0.003577513,-0.015502555,0.015672913
223,1.131950974,0.000681431,0.003577513,-0.015332198,0.015672913
224,1.137027025,0.000681431,0.00374787,-0.015161839,0.015502555
225,1.142102957,0.000681431,0.00374787,-0.015332198,0.015502555
226,1.147179008,0.000681431,0.003918228,-0.015332198,0.015672913
227,1.152255058,0.000681431,0.003918228,-0.015502555,0.01584327
228,1.15733099,0.000681431,0.003918228,-0.015672913,0.01584327
229,1.162407041,0.000681431,0.004088586,-0.015672913,0.01584327
230,1.167483091,0.000851789,0.004258944,-0.015672913,0.01584327
231,1.172559023,0.000851789,0.004599659,-0.015672913,0.01584327
232,1.177635074,0.000851789,0.004770017,-0.015161839,0.015672913
233,1.182711124,0.000851789,0.004940375,-0.015161839,0.015502555
234,1.187787175,0.000851789,0.004940375,-0.015161839,0.015502555
235,1.192863107,0.000851789,0.004940375,-0.015332198,0.015672913
236,1.197939157,0.000851789,0.00528109,-0.015502555,0.015672913
237,1.203015208,0.000851789,0.00528109,-0.015672913,0.015672913
238,1.20809114,0.000851789,0.005451448,-0.015672913,0.015672913
239,1.213167191,0.000851789,0.005621806,-0.015502555,0.015672913
240,1.218243241,0.001022147,0.005792163,-0.015332198,0.015672913
241,1.223319173,0.001022147,0.006303237,-0.015332198,0.015672913
242,1.228395224,0.001022147,0.006473594,-0.015502555,0.015672913
243,1.233471274,0.001022147,0.006473594,-0.015502555,0.015672913
244,1.238547206,0.001022147,0.006473594,-0.015332198,0.015672913
245,1.243623257,0.001192504,0.006473594,-0.015502555,0.015672913
246,1.248699307,0.001192504,0.00681431,-0.015672913,0.015672913
247,1.253775239,0.001192504,0.006984667,-0.015672913,0.015672913
248,1.25885129,0.001022147,0.006984667,-0.015502555,0.015672913
249,1.263927341,0.001192504,0.006984667,-0.015332198,0.015672913
250,1.269003391,0.001192504,0.007155025,-0.015332198,0.015502555
251,1.274079323,0.001022147,0.007495741,-0.015332198,0.015672913
252,1.279155374,0.001192504,0.007495741,-0.015502555,0.01584327
253,1.284231424,0.001192504,0.007666098,-0.015672913,0.01584327
254,1.289307356,0.001362862,0.007836456,-0.015672913,0.01584327
255,1.294383407,0.001192504,0.008177171,-0.015672913,0.01584327
256,1.299459457,0.001192504,0.00834753,-0.015332198,0.015672913
257,1.304535389,0.001192504,0.008688245,-0.015332198,0.015672913
258,1.30961144,0.001192504,0.009028961,-0.015161839,0.015672913
259,1.31468749,0.001022147,0.009369676,-0.015502555,0.015672913
260,1.319763422,0.001192504,0.009540034,-0.015502555,0.01584327
261,1.324839473,0.001192504,0.009540034,-0.015672913,0.01584327
262,1.329915524,0.001192504,0.009369676,-0.016013628,0.016013628
263,1.334991455,0.001022147,0.009369676,-0.01584327,0.016013628
264,1.340067506,0.001022147,0.009540034,-0.01584327,0.016013628
265,1.345143557,0.001022147,0.00988075,-0.015502555,0.01584327
266,1.350219488,0.001022147,0.010391822,-0.015502555,0.015672913
267,1.355295539,0.001192504,0.010562181,-0.015672913,0.01584327
268,1.36037159,0.001022147,0.010391822,-0.01584327,0.016013628
269,1.36544764,0.001022147,0.010221465,-0.01584327,0.016013628
270,1.370523572,0.001192504,0.010732538,-0.01584327,0.01584327
271,1.375599623,0.001022147,0.010902896,-0.015502555,0.01584327
272,1.380675673,0.000851789,0.011754684,-0.015502555,0.015672913
273,1.385751605,0.001022147,0.010902896,-0.015502555,0.015672913
274,1.390827656,0.000851789,0.010902896,-0.015502555,0.015672913
275,1.395903707,0.000851789,0.010902896,-0.015502555,0.015672913
276,1.400979638,0.000851789,0.010902896,-0.015672913,0.01584327
277,1.406055689,0.00076661,0.010817717,-0.015672913,0.01584327
278,1.41113174,0.000681431,0.010732538,-0.015672913,0.01584327
279,1.416207671,0.000340715,0.011754684,-0.015672913,0.01584327
280,1.421283722,0.000170358,0.012436115,-0.015502555,0.01584327
281,1.426359773,0.0,0.012947189,-0.015502555,0.015672913
282,1.431435704,0.0,0.013117546,-0.015332198,0.015502555
283,1.436511755,0.000170358,0.013117546,-0.015161839,0.015672913
284,1.441587806,0.000227144,0.012152178,-0.015502555,0.01584327
285,1.446663857,0.00028393,0.01118681,-0.015672913,0.01584327
286,1.451739788,0.000340715,0.010221465,-0.015672913,0.01584327
287,1.456815839,0.000340715,0.010732538,-0.015672913,0.01584327
288,1.46189189,0.000170358,0.011243612,-0.015672913,0.015672913
289,1.466967821,-0.000170354,0.011925035,-0.015332198,0.015502555
290,1.472043872,-0.000511073,0.012606474,-0.015161839,0.015332197
291,1.477119923,-0.000511073,0.013117546,-0.015161839,0.015332197
292,1.482195854,-0.000681431,0.013458262,-0.015161839,0.015502555
293,1.487271905,-0.000681431,0.013458262,-0.015332198,0.015502555
294,1.492347956,-0.000851789,0.013287904,-0.015332198,0.015672913
295,1.497423887,-0.000851789,0.012776831,-0.015502555,0.015672913
296,1.502499938,-0.000851789,0.012350937,-0.015332198,0.015672913
297,1.507575989,-0.000851789,0.011925043,-0.015161839,0.015502555
298,1.51265192,-0.000681431,0.011073253,-0.015161839,0.015672913
299,1.517727971,-0.000681431,0.010902896,-0.015502555,0.01584327
300,1.522804022,-0.000681431,0.010902896,-0.015672913,0.01584327
301,1.527879953,-0.000681431,0.010902896,-0.015672913,0.016013628
302,1.532956004,-0.000851789,0.010902896,-0.015672913,0.01584327
303,1.538032055,-0.001022147,0.010732538,-0.015672913,0.01584327
304,1.543108106,-0.001022147,0.010391822,-0.015502555,0.015672913
305,1.548184037,-0.001022147,0.010221465,-0.015502555,0.015672913
306,1.553260088,-0.001022147,0.010221465,-0.015502555,0.015672913
307,1.558336139,-0.001192504,0.010221465,-0.015502555,0.01584327
308,1.56341207,-0.001362862,0.010051107,-0.015502555,0.015672913
309,1.568488121,-0.00153322,0.00988075,-0.015502555,0.015672913
310,1.573564172,-0.00153322,0.009710392,-0.015502555,0.015672913
