t	X1	Y1	X2	Y2
s	m	m	m	m
 0,000000000	-0,000359281	-0,000179641	-0,002335329	 0,021377245
 0,005078024	-0,000359281	-0,000359281	-0,002335329	 0,021377245
 0,010156048	-0,000359281	-0,000179641	-0,002335329	 0,021377245
 0,015234073	-0,000359281	-0,000179641	-0,002335329	 0,021377245
 0,020312097	-0,000359281	-0,000179641	-0,002335329	 0,021377245
 0,025390120	-0,000359281	-0,000179641	-0,002335329	 0,021556886
 0,030468145	-0,000359281	-0,000179641	-0,002335329	 0,021556886
 0,035546169	-0,000359281	-0,000000000	-0,002335329	 0,021556886
 0,040624194	-0,000179641	-0,000000000	-0,002335329	 0,021556886
 0,045702219	-0,000179641	-0,000000000	-0,002335329	 0,021556886
 0,050780240	-0,000179641	-0,000179641	-0,002335329	 0,021556886
 0,055858266	-0,000179641	-0,000089820	-0,002514970	 0,021556886
 0,060936291	-0,000179641	-0,000000000	-0,002514970	 0,021556886
 0,066014312	-0,000179641	-0,000000000	-0,002514970	 0,021556886
 0,071092337	-0,000179641	-0,000000000	-0,002514970	 0,021556886
 0,076170363	-0,000179641	 0,000179641	-0,002335329	 0,021556886
 0,081248388	-0,000179641	 0,000179641	-0,002335329	 0,021556886
 0,086326413	-0,000179641	 0,000359281	-0,002335329	 0,021377245
 0,091404438	-0,000179641	 0,000359281	-0,002155689	 0,021377245
 0,096482456	-0,000179641	 0,000538922	-0,002335329	 0,021556886
 0,101560481	-0,000179641	 0,000538922	-0,002335329	 0,021556886
 0,106638506	-0,000179641	 0,000538922	-0,002335329	 0,021556886
 0,111716531	-0,000179641	 0,000718563	-0,002335329	 0,021556886
 0,116794556	-0,000179641	 0,000538922	-0,002155689	 0,021377245
 0,121872582	-0,000179641	 0,000538922	-0,002155689	 0,021377245
 0,126950607	-0,000179641	 0,000718563	-0,002335329	 0,021556886
 0,132028624	-0,000179641	 0,000718563	-0,002335329	 0,021556886
 0,137106657	 0,000000000	 0,000718563	-0,002155689	 0,021556886
 0,142184675	 0,000000000	 0,000898204	-0,002155689	 0,021556886
 0,147262707	 0,000000000	 0,000898204	-0,002155689	 0,021556886
 0,152340725	 0,000000000	 0,000898204	-0,002155689	 0,021556886
 0,157418743	 0,000000000	 0,001077844	-0,002155689	 0,021556886
 0,162496775	 0,000000000	 0,001077844	-0,002155689	 0,021556886
 0,167574793	 0,000000000	 0,000898204	-0,002155689	 0,021556886
 0,172652826	 0,000000000	 0,001257485	-0,002155689	 0,021556886
