Distance_(pixels),Gray_Value
454,114.7245
455,116.1950
456,121.1966
457,122.9443
458,121.8406
459,113.7183
460,111.0882
461,110.7972
462,111.7678
463,114.5526
464,117.3638
465,119.7012
466,117.5913
467,111.2848
468,109.6935
469,111.8173
470,110.7322
471,111.0263
472,112.2121
473,112.1238
474,112.8328
475,114.9551
476,109.4396
477,108.1734
478,109.3173
479,108.2972
480,110.1749
481,110.7709
482,110.1393
483,110.2724
484,111.9118
485,113.6223
486,115.8808
487,116.2183
488,114.0975
489,109.8220
490,112.2399
491,110.8731
492,110.1006
493,111.7260
494,110.5310
495,108.6656
496,111.9567
497,118.2663
498,116.9985
499,117.1625
500,111.3390
501,112.1424
502,109.7786
503,110.1207
504,108.8793
505,110.1207
506,108.8762
507,109.7585
508,110.7910
509,115.9783
510,119.3467
511,115.5991
512,112.2508
513,106.1362
514,107.6703
515,105.6919
516,108.2028
517,106.9226
518,109.1285
519,108.2307
520,111.8189
521,112.0728
522,109.8081
523,109.7136
524,105.0789
525,106.6641
526,112.4272
527,114.0820
528,112.0139
529,107.2570
530,107.1749
531,110.8901
532,107.9752
533,109.0449
534,108.9226
535,110.8994
536,112.7461
537,111.9582
538,109.5201
539,107.0929
540,109.0402
541,112.2477
542,114.8963
543,114.1192
544,107.5372
545,110.4721
546,106.6687
547,108.1068
548,106.3467
549,106.1053
550,108.9241
551,113.9567
552,115.5913
553,111.6734
554,108.0666
555,108.7322
556,112.6981
557,114.6656
558,112.4644
559,108.2477
560,104.5310
561,106.3266
562,104.4876
563,106.4241
564,105.6362
565,105.1966
566,106.7105
567,109.7895
568,109.1563
569,108.9768
570,105.7353
571,104.2632
572,105.7539
573,107.5015
574,107.6347
575,112.2802
576,111.5867
577,108.8313
578,103.1455
579,104.6362
580,105.1610
581,104.2570
582,104.3189
583,105.1223
584,104.6115
585,106.2848
586,102.2090
587,103.0759
588,102.9892
589,103.6393
590,103.4149
591,104.8375
592,105.7446
593,103.1935
594,110.1966
595,113.6981
596,114.1409
597,107.0186
598,103.8266
599,103.7260
600,102.5836
601,105.6579
602,104.2477
603,101.0418
604,102.6749
605,104.3189
606,103.6192
607,101.6765
608,103.5387
609,103.6331
610,103.4427
611,103.7616
612,102.1393
613,105.9706
614,110.7879
615,108.4443
616,106.6780
617,104.2864
618,102.2833
619,101.1455
620,103.9675
621,104.8762
622,103.9396
623,102.7895
624,102.0666
625,100.4690
626,102.4102
627,103.1517
628,99.3901
629,101.4799
630,102.1703
631,103.5418
632,99.3111
633,103.7074
634,101.7570
635,104.4783
636,100.6424
637,100.1115
638,102.8932
639,103.6703
640,101.5789
641,104.0650
642,102.0000
643,101.6068
644,99.3885
645,99.7864
646,99.7693
647,103.5201
648,100.4985
649,100.7802
650,100.1935
651,101.0851
652,102.6300
653,101.4334
654,99.9087
655,101.0000
656,102.1625
657,101.5774
658,99.6703
659,100.9969
660,99.6331
661,101.0511
662,99.8932
663,99.0046
664,100.2353
665,99.4087
666,98.7276
667,101.3467
668,100.9690
669,100.1935
670,100.9257
671,100.5836
672,98.2012
673,96.7384
674,99.7430
675,101.0542
676,100.4319
677,96.6006
678,99.1749
679,100.7074
680,100.0124
681,101.3576
682,101.5217
683,99.1687
684,96.5898
685,98.7477
686,100.0697
687,100.7910
688,100.7291
689,98.4474
690,99.5913
691,97.9814
692,99.5960
693,98.2028
694,97.0588
695,98.9814
696,97.4768
697,98.8158
698,98.6393
