Distance_(pixels),Gray_Value
0,82.1970
1,84.5657
2,82.6776
3,84.5552
4,84.1642
5,82.5866
6,81.6821
7,81.6075
8,83.1000
9,85.6015
10,84.9597
11,85.2478
12,86.1672
13,81.5134
14,84.9507
15,84.4567
16,83.3836
17,85.6418
18,84.6896
19,81.7731
20,83.3567
21,85.2940
22,84.9776
23,85.9239
24,85.9582
25,85.5224
26,86.3910
27,86.8478
28,86.6209
29,85.7045
30,84.6597
31,84.5731
32,84.9045
33,84.6179
34,85.4582
35,87.5269
36,83.4478
37,84.7612
38,86.4134
39,85.0030
40,85.7925
41,87.1313
42,86.5687
43,85.9373
44,84.4418
45,84.1896
46,85.1164
47,86.3731
48,86.7373
49,83.1806
50,83.9343
51,84.3687
52,86.3433
53,85.7075
54,86.1985
55,84.6627
56,84.8567
57,86.2866
58,85.5597
59,86.2970
60,85.9164
61,86.6478
62,86.7418
63,79.6463
64,82.7418
65,86.6761
66,85.5522
67,85.1776
68,86.0119
69,88.3791
70,86.1791
71,87.9687
72,88.8776
73,85.8075
74,87.1881
75,83.9373
76,86.1463
77,87.2463
78,86.3806
79,87.5791
80,87.1746
81,87.3448
82,86.8552
83,86.8806
84,86.8522
85,86.9507
86,87.6612
87,86.3448
88,87.7821
89,90.5239
90,88.1090
91,88.8448
92,86.3493
93,88.9552
94,86.2642
95,87.7851
96,88.5776
97,86.5612
98,88.4209
99,88.0299
100,87.8791
101,89.6388
102,91.8358
103,91.0925
104,88.0478
105,89.1567
106,86.7522
107,88.9179
108,86.9910
109,88.9090
110,89.0746
111,88.2164
112,88.0284
113,88.1612
114,89.1284
115,88.8164
116,88.5657
117,88.5582
118,89.5582
119,88.8209
120,90.0881
121,92.6896
122,96.8209
123,95.4224
124,92.2403
125,90.1627
126,87.4597
127,89.5090
128,88.9090
129,90.5119
130,88.9567
131,87.3373
132,89.1896
133,88.8149
134,89.4209
135,89.7239
136,87.2164
137,90.3149
138,90.1015
139,90.3000
140,91.3731
141,96.3418
142,98.3418
143,96.7493
144,90.9776
145,91.0940
146,89.6582
147,91.0642
148,92.8746
149,91.5343
150,89.3358
151,88.3672
152,89.5060
153,93.2075
154,92.1552
155,88.2821
156,90.3090
157,91.1284
158,90.1746
159,89.8045
160,94.3194
161,99.8164
162,96.9269
163,95.1433
164,94.7433
165,92.5463
166,93.3731
167,92.3493
168,96.2896
169,96.1328
170,95.5776
171,92.8418
172,91.7940
173,93.1687
174,93.0627
175,91.3657
176,93.8552
177,90.6746
178,94.2000
179,98.0179
180,101.4060
181,99.1179
182,93.4000
183,92.5761
184,98.3716
185,99.8746
186,98.0567
187,94.1343
188,93.4493
189,93.3478
190,94.1418
191,93.5761
192,94.4224
193,95.1702
194,99.4045
195,100.4298
196,97.1552
197,93.7090
198,93.5970
199,94.2552
200,98.7358
201,100.0179
202,97.2701
203,94.4791
204,95.4955
205,91.2642
206,94.6612
207,94.3806
208,96.3418
209,98.0866
210,100.5328
211,97.6224
212,94.3149
213,92.9373
214,94.4866
215,97.2075
216,98.5299
217,100.7418
218,94.5493
219,95.3821
220,96.2478
221,94.5612
222,95.6507
223,95.4269
224,94.6985
225,97.4940
226,101.4463
227,105.0433
228,103.0970
229,97.9090
230,93.2746
231,92.6418
232,95.9627
233,93.7418
234,96.1806
235,95.0478
236,96.1000
237,99.5343
238,103.0552
239,106.0433
240,103.5373
241,97.6313
242,96.1179
243,94.7164
244,97.3493
245,97.0179
246,98.0224
247,96.5164
248,96.4284
249,97.8388
250,101.2955
251,103.3895
252,97.8731
253,98.0776
254,97.1627
255,94.7672
256,97.6045
257,97.7060
258,95.8612
259,95.8030
260,95.5179
261,97.4627
262,99.1358
263,99.5015
264,98.3672
265,98.9731
266,96.8000
267,95.8463
268,97.2940
269,96.3358
270,97.1612
271,103.9463
272,105.2985
273,102.3313
274,98.3881
275,99.0821
276,98.2716
277,96.8791
278,102.8716
279,106.7761
280,109.1313
281,107.7597
282,98.8015
283,98.8358
284,99.7925
285,101.1134
286,101.2433
287,109.7716
288,110.3254
289,106.7030
290,101.8522
291,99.2119
292,99.2537
293,99.8866
294,98.8030
295,105.5582
296,106.2851
297,99.8657
298,99.6537
299,98.9328
300,101.2746
301,100.9955
302,99.5910
303,101.1642
304,99.1836
305,100.8657
306,100.6328
307,100.3776
308,99.4343
309,99.3448
310,99.0552
311,98.9149
312,99.3284
313,100.4045
314,99.3701
315,100.4716
316,99.2194
317,98.5269
318,99.4388
319,101.0030
320,100.6328
321,101.6940
322,102.7045
323,107.4761
324,104.3298
325,101.5403
326,110.1493
327,113.8478
