Distance_(pixels),Gray_Value
0,904.000
1,896.000
2,916.282
3,907.577
4,891.437
5,895.061
6,902.873
7,920.657
8,931.624
9,897.690
10,865.878
11,873.418
12,877.746
13,892.610
14,913.315
15,916.704
16,913.258
17,923.193
18,904.000
19,869.352
20,888.207
21,915.944
22,918.836
23,920.000
24,909.746
25,891.305
26,906.441
27,912.000
28,890.685
29,904.000
30,949.183
31,965.089
32,932.995
33,928.000
34,942.385
35,915.286
36,914.310
37,936.000
38,938.216
39,939.662
40,945.634
41,904.000
42,872.000
43,886.019
44,873.934
45,877.662
46,895.362
47,896.967
48,888.732
49,870.300
50,862.085
51,886.366
52,889.765
53,892.977
54,896.000
55,885.671
56,882.967
57,902.620
58,901.108
59,897.230
60,923.268
61,928.000
62,915.268
63,901.211
64,927.005
65,910.103
66,855.211
67,868.272
68,915.962
69,909.718
70,888.714
71,881.333
72,873.859
73,842.864
74,864.526
75,942.085
76,926.704
77,863.230
78,834.028
79,865.455
80,864.977
81,865.577
82,896.601
83,919.690
84,927.831
85,872.047
86,855.962
87,856.338
88,841.577
89,841.427
90,840.225
91,870.638
92,871.042
93,865.099
94,912.413
95,950.160
96,942.479
97,918.892
98,873.202
99,860.535
100,912.000
101,928.742
102,917.521
103,927.164
104,910.235
105,877.577
106,905.953
107,897.023
108,863.493
109,884.469
110,909.671
111,909.577
112,913.709
113,908.085
114,874.704
115,882.404
116,884.432
117,890.028
118,918.460
119,936.066
120,927.831
121,894.319
122,886.272
123,907.549
124,921.822
125,924.789
126,918.761
127,920.300
128,925.953
129,913.831
130,909.897
131,933.850
132,930.197
133,898.244
134,909.709
135,942.648
136,956.075
137,939.840
138,924.169
139,920.423
140,909.427
141,914.901
142,888.000
143,826.573
144,840.282
145,877.193
146,880.563
147,900.310
148,902.742
149,887.962
150,911.211
151,908.911
152,907.455
153,902.451
154,884.620
155,873.061
156,876.056
157,912.404
158,881.164
159,860.535
160,904.977
161,915.559
162,893.972
163,902.432
164,900.300
165,875.239
166,874.141
167,902.723
168,924.113
169,919.869
170,915.981
171,907.859
172,891.925
173,891.390
174,914.817
175,911.568
176,900.789
177,920.620
178,919.286
179,898.789
180,914.648
181,917.014
182,919.099
183,915.268
184,904.807
185,915.315
186,913.465
187,912.000
188,932.826
189,944.366
190,918.761
191,897.099
192,901.972
193,923.756
194,934.460
195,914.310
196,885.202
197,882.498
198,885.183
199,890.657
200,906.441
201,909.437
202,896.000
203,884.939
204,915.887
205,940.995
206,902.685
207,898.282
208,922.235
209,921.437
210,913.577
211,904.000
212,862.141
213,872.000
214,912.188
215,904.376
216,886.141
217,880.000
218,878.235
219,851.437
220,853.014
221,862.498
222,865.577
223,884.939
224,893.033
225,889.437
226,886.610
227,879.944
228,893.408
229,908.995
230,900.807
231,893.690
232,878.892
233,862.939
234,875.944
235,895.033
236,911.080
237,913.887
238,899.042
239,887.221
240,885.803
241,885.258
242,888.000
243,910.817
244,933.277
245,934.009
246,895.099
247,888.404
248,905.070
249,896.000
250,887.737
251,904.000
252,943.662
253,959.512
254,927.850
255,943.915
256,935.925
257,896.066
258,919.775
259,903.681
260,880.413
261,904.761
262,944.300
263,944.000
264,927.606
265,942.676
266,965.070
267,963.183
268,933.671
269,912.629
270,902.648
271,902.554
272,904.000
273,896.817
274,875.455
275,888.000
276,913.296
277,877.991
278,882.103
279,884.394
280,890.291
281,896.000
282,902.761
283,917.427
284,918.667
285,934.338
286,925.146
287,932.423
288,929.521
289,937.728
290,937.540
291,910.648
292,886.836
293,898.732
294,919.775
295,929.202
296,932.207
297,903.775
298,885.934
299,870.413
300,862.592
301,873.606
302,869.822
303,841.803
304,850.178
305,873.277
306,891.831
307,905.653
308,876.920
309,874.507
310,909.446
311,930.798
312,930.704
313,901.305
314,901.484
315,917.577
316,885.671
317,858.235
318,870.423
319,892.094
320,912.883
321,916.930
322,914.704
323,934.150
324,929.634
325,930.967
326,956.169
327,920.000
328,909.596
329,936.000
330,918.535
331,904.000
332,879.174
333,866.197
334,887.512
335,905.089
336,928.000
337,916.178
338,891.606
339,887.662
340,895.925
341,912.019
342,899.944
343,883.277
344,871.399
345,860.986
346,856.977
347,888.000
348,921.352
349,917.155
350,916.432
351,887.042
352,875.474
353,915.427
354,920.000
355,904.000
356,916.714
357,924.761
358,947.155
359,953.437
360,918.197
361,919.258
362,919.023
363,926.789
364,910.554
365,874.864
366,887.549
367,892.610
368,879.662
369,880.000
370,882.629
371,883.089
372,872.394
373,876.977
374,880.000
375,852.789
376,857.390
377,884.601
378,920.000
379,934.620
380,906.798
381,890.113
382,891.869
383,879.925
384,859.944
385,864.000
386,891.343
387,911.521
388,910.216
389,901.211
390,906.930
391,883.070
392,862.385
393,858.845
394,849.014
395,871.277
396,906.817
397,917.277
398,902.685
399,886.732
400,880.000
401,890.347
402,930.366
403,945.521
404,920.000
405,911.014
406,882.817
407,857.812
408,877.070
409,880.000
410,859.756
411,866.113
412,873.315
413,865.831
414,888.000
415,911.484
416,934.592
417,934.732
418,887.249
419,894.685
420,896.563
421,866.113
422,880.751
423,919.437
424,935.437
425,912.000
426,904.000
427,887.906
428,864.376
429,904.563
430,943.437
431,912.235
432,881.690
433,903.343
434,902.873
435,888.423
436,879.531
437,887.484
438,911.437
439,897.221
440,867.944
441,887.296
442,901.746
443,883.991
444,885.915
445,915.568
446,922.817
447,936.986
448,985.803
449,983.362
450,921.127
451,921.174
452,985.897
453,990.732
454,1029.371
455,1165.108
456,1337.916
457,1543.981
458,1663.437
459,1643.859
460,1644.864
461,1670.704
462,1629.296
463,1529.784
464,1412.319
465,1261.211
466,1123.343
467,1034.826
468,952.225
469,893.981
470,876.131
471,906.113
472,949.840
473,967.174
474,970.479
475,961.099
476,920.000
477,879.183
478,868.207
479,882.488
480,901.465
481,914.582
482,930.742
483,922.620
484,927.831
485,933.540
486,933.634
487,928.000
488,914.911
489,904.873
490,918.009
491,931.052
492,905.803
493,880.272
494,881.615
495,897.718
496,913.427
497,924.000
498,900.620
499,883.427
500,885.897
501,888.000
502,890.592
503,902.695
504,909.014
505,902.836
506,910.535
507,903.211
508,887.700
509,888.207
510,888.225
511,900.028
512,927.925
513,931.746
514,907.606
515,927.643
516,927.099
517,870.366
518,835.681
519,860.394
520,903.718
521,893.380
522,877.521
523,900.554
524,920.000
525,914.056
526,885.221
527,840.000
528,839.944
529,867.164
530,886.235
531,908.930
532,892.094
533,880.930
534,881.577
535,888.648
536,914.329
537,925.577
538,906.967
539,874.779
540,869.239
541,890.798
542,901.446
543,913.070
544,937.840
545,906.413
546,880.000
547,875.362
548,866.272
549,891.127
550,887.249
551,846.394
552,861.577
553,901.812
554,900.056
555,884.563
556,872.413
557,900.300
558,917.408
559,899.512
560,889.709
561,892.986
562,878.460
563,874.977
564,908.958
565,893.052
566,900.282
567,949.239
568,958.667
569,936.282
570,921.803
571,892.423
572,858.291
573,891.606
574,906.742
575,909.991
576,927.042
577,929.822
578,909.183
579,892.901
580,896.770
581,902.554
582,898.028
583,891.775
584,894.836
585,917.324
586,964.582
587,935.559
588,897.577
589,920.000
590,912.000
591,880.000
592,896.000
593,912.160
594,888.113
595,888.066
596,927.906
597,936.028
598,903.624
599,855.146
600,855.831
601,904.648
602,935.474
603,927.070
604,904.357
605,919.596
606,926.648
607,894.507
608,886.366
609,896.592
610,904.638
611,927.315
612,940.338
613,902.441
614,892.131
615,915.493
616,924.601
617,931.869
618,943.099
619,1013.305
620,1017.108
621,952.085
622,924.019
623,920.742
624,976.000
625,1079.944
626,1247.662
627,1598.761
628,2180.977
629,2974.188
630,3785.127
631,4555.530
632,5358.348
633,5925.352
634,6167.361
635,6162.028
636,5822.817
637,5194.948
638,4389.709
639,3548.000
640,2825.840
641,2135.465
642,1550.310
643,1171.624
644,972.469
645,915.408
646,933.972
647,991.127
648,1006.535
649,972.347
650,938.967
651,928.620
652,917.559
653,898.714
654,903.662
655,924.742
656,930.404
657,936.535
658,926.460
659,930.939
660,909.972
661,872.000
662,870.761
663,880.000
664,894.347
665,910.441
666,915.268
667,889.944
668,883.362
669,877.775
670,869.634
671,896.995
672,912.901
673,890.789
674,869.859
675,888.620
676,932.263
677,922.920
678,899.831
679,908.854
680,912.150
681,903.887
682,904.038
683,916.197
684,927.775
685,935.042
686,914.967
687,902.986
688,899.099
689,894.610
690,928.000
691,931.559
692,903.023
693,891.465
694,898.254
695,906.967
696,907.211
697,915.662
698,932.920
699,931.099
700,913.089
701,925.624
702,934.085
703,920.986
704,910.742
705,926.507
706,964.582
707,961.540
708,932.958
709,906.714
710,901.333
711,914.761
712,901.427
713,887.577
714,892.958
715,894.272
716,878.460
717,864.000
718,872.000
719,882.244
720,862.592
721,889.549
722,923.793
723,908.113
724,912.000
725,896.000
726,896.000
727,912.000
728,879.286
729,869.324
730,864.638
731,836.169
732,853.070
733,889.521
734,898.779
735,922.986
736,929.446
737,910.995
738,897.465
739,893.221
740,921.258
741,900.845
742,868.657
743,881.117
744,873.070
745,868.094
746,905.953
747,932.282
748,936.883
749,924.178
750,897.577
751,910.516
752,932.526
753,914.592
754,887.211
755,938.216
756,989.465
757,958.160
758,914.066
759,930.197
760,944.319
761,928.817
762,936.451
763,935.822
764,904.000
765,927.577
766,991.587
767,968.038
768,928.225
769,959.897
770,975.700
771,928.592
772,912.244
773,942.254
774,927.324
775,943.230
776,995.249
777,941.127
778,886.948
779,863.427
780,879.380
781,926.000
782,929.427
783,976.000
784,1004.770
785,991.146
786,960.901
787,910.103
788,925.014
789,989.211
790,1145.803
791,1404.545
792,1555.831
793,1590.761
794,1512.939
795,1309.296
796,1109.484
797,1208.507
798,1968.113
799,3804.723
800,6909.202
801,11256.310
802,16676.469
803,22573.352
804,28360.113
805,33697.953
806,37468.883
807,38384.086
808,37006.328
809,33643.332
810,28440.562
811,22431.342
812,16323.475
813,10731.437
814,6371.530
815,3547.380
816,1920.732
817,1239.502
818,1218.366
819,1392.000
820,1550.009
821,1624.732
822,1527.775
823,1343.916
824,1136.000
825,978.732
826,941.559
827,954.347
828,1010.254
829,1058.160
830,1089.164
831,1094.958
832,1032.000
833,968.000
834,933.070
835,923.193
836,929.746
837,929.887
838,946.742
839,976.948
840,963.437
841,932.901
842,932.244
843,913.042
844,911.249
845,950.028
846,995.155
847,1006.113
848,981.690
849,956.704
850,927.812
851,907.953
852,900.000
853,908.047
854,931.906
855,939.859
856,931.437
857,918.122
858,885.746
859,880.000
860,886.629
861,901.268
862,923.531
863,921.033
864,900.563
865,920.000
866,960.000
867,966.113
868,950.009
869,923.193
870,916.845
871,905.784
872,892.939
873,870.958
874,858.066
875,865.521
876,875.493
877,882.347
878,869.221
879,874.930
880,893.484
881,898.554
882,914.817
883,931.643
884,915.512
885,899.099
886,892.770
887,861.643
888,851.549
889,878.789
890,892.432
891,906.169
892,917.878
893,925.624
894,921.803
895,906.056
896,889.934
897,872.000
898,870.798
899,895.033
900,912.000
901,926.300
902,932.695
903,927.972
904,913.972
905,922.394
906,932.282
907,891.746
908,873.371
909,878.620
910,886.047
911,894.150
912,881.183
913,868.545
914,861.822
915,868.873
916,872.995
917,889.897
918,932.507
919,931.418
920,927.193
921,956.958
922,919.286
923,856.000
924,874.423
925,906.272
926,924.319
927,925.606
928,917.840
929,940.920
930,957.972
931,919.709
932,881.221
933,904.394
934,896.451
935,904.207
936,919.944
937,911.962
938,903.925
939,903.746
940,888.526
941,889.249
942,935.324
943,919.183
944,896.000
945,894.535
946,910.347
947,920.920
948,928.000
949,934.892
950,907.606
951,907.887
952,928.695
953,898.967
954,875.155
955,896.000
956,896.883
957,883.718
958,893.859
959,908.094
960,915.211
961,908.469
962,892.657
963,906.423
964,912.000
965,907.915
966,936.113
967,954.798
968,955.662
969,959.042
970,958.460
971,993.587
972,1124.901
973,1403.765
974,1872.188
975,2503.916
976,3287.042
977,4109.427
978,4928.113
979,5662.948
980,6048.338
981,6112.648
982,5855.925
983,5255.906
984,4517.972
985,3769.268
986,3024.038
987,2339.070
988,1782.460
989,1355.840
990,1101.521
991,984.845
992,912.282
993,912.141
994,941.333
995,957.146
996,994.479
997,977.962
998,900.582
999,830.507
1000,842.535
1001,909.005
1002,926.873
1003,918.178
1004,912.000
1005,932.817
1006,953.540
1007,929.831
1008,901.296
1009,891.371
1010,884.582
1011,898.141
1012,911.418
1013,901.324
1014,891.606
1015,877.042
1016,899.099
1017,922.732
1018,887.587
1019,875.202
1020,903.099
1021,907.408
1022,923.869
1023,952.113
1024,944.150
1025,912.000
1026,894.986
1027,878.704
1028,859.737
1029,874.451
1030,866.216
1031,848.000
1032,855.099
