Distance_(pixels),Gray_Value
0,896.000
1,896.330
2,897.320
3,864.990
4,848.000
5,884.825
6,924.990
7,914.845
8,872.039
9,877.029
10,874.349
11,845.816
12,849.942
13,861.563
14,891.824
15,921.144
16,930.718
17,905.194
18,896.000
19,927.136
20,922.795
21,906.135
22,879.631
23,855.186
24,871.807
25,911.494
26,911.125
27,888.457
28,896.622
29,902.426
30,910.096
31,918.883
32,922.872
33,928.765
34,918.448
35,908.440
36,929.711
37,910.322
38,872.000
39,877.563
40,909.205
41,922.768
42,895.202
43,890.316
44,908.424
45,917.711
46,905.964
47,898.305
48,915.461
49,892.264
50,877.266
51,885.254
52,888.000
53,926.245
54,940.913
55,899.686
56,853.783
57,844.957
58,863.279
59,892.523
60,902.289
61,899.862
62,897.766
63,872.000
64,864.000
65,898.916
66,932.682
67,936.000
68,925.673
69,895.389
70,882.228
71,904.842
72,896.000
73,872.049
74,902.498
75,878.481
76,853.276
77,875.741
78,894.250
79,909.920
80,929.205
81,913.590
82,909.816
83,906.201
84,888.000
85,885.849
86,845.805
87,858.360
88,888.000
89,882.762
90,867.422
91,848.000
92,872.000
93,896.754
94,912.611
95,902.085
96,875.230
97,904.044
98,928.352
99,914.977
100,892.506
101,882.685
102,889.673
103,908.005
104,932.666
105,911.995
106,899.483
107,904.985
108,888.000
109,858.041
110,849.216
111,877.034
112,907.026
113,913.260
114,868.451
115,853.964
116,894.294
117,904.000
118,882.091
119,905.431
120,903.807
121,880.028
122,919.037
123,879.697
124,835.741
125,843.164
126,879.202
127,922.223
128,904.000
129,881.051
130,879.290
131,894.377
132,902.212
133,913.953
134,932.237
135,914.283
136,907.103
137,930.773
138,911.664
139,900.226
140,899.565
141,889.084
142,892.561
143,904.000
144,925.618
145,928.132
146,916.099
147,913.585
148,943.004
149,956.594
150,935.796
151,924.319
152,933.805
153,906.036
154,899.356
155,927.846
156,914.746
157,915.147
158,910.080
159,904.979
160,889.640
161,880.000
162,906.520
163,924.380
164,921.860
165,897.530
166,903.400
167,912.000
168,919.730
169,903.895
170,896.242
171,896.902
172,875.516
173,891.334
174,882.883
175,869.315
176,871.356
177,908.864
178,931.857
179,902.454
180,902.289
181,890.371
182,880.000
183,883.032
184,867.857
185,888.391
186,909.089
187,884.534
188,843.032
189,843.197
190,904.000
191,926.107
192,886.768
193,884.143
194,903.912
195,902.878
196,906.239
197,928.000
198,934.635
199,900.611
200,879.037
201,861.645
202,866.630
203,894.553
204,867.345
205,852.974
206,873.997
207,880.000
208,893.001
209,900.996
210,904.000
211,881.375
212,837.034
213,855.158
214,881.354
215,903.488
216,925.574
217,903.455
218,911.984
219,911.406
220,895.686
221,904.000
222,912.644
223,881.618
224,858.922
225,907.417
226,944.000
227,909.876
228,897.634
229,912.000
230,905.964
231,897.612
232,913.117
233,923.081
234,909.375
235,882.421
236,877.909
237,896.000
238,903.576
239,901.651
240,895.230
241,914.900
242,915.945
243,911.780
244,920.000
245,919.120
246,915.395
247,919.851
248,902.806
249,889.502
250,901.062
251,909.431
252,923.191
253,941.761
254,920.000
255,896.000
256,902.256
257,891.263
258,880.930
259,865.249
260,867.252
261,880.919
262,902.492
263,904.000
264,935.153
265,997.414
266,959.626
267,911.928
268,896.473
269,887.197
270,885.166
271,874.927
272,882.690
273,881.062
274,913.227
275,945.392
276,937.343
277,928.611
278,931.774
279,929.843
280,885.783
281,864.853
282,899.620
283,933.150
284,924.490
285,910.872
286,920.000
287,901.491
288,896.765
289,905.920
290,891.604
291,895.934
292,899.802
293,932.363
294,949.887
295,896.534
296,872.000
297,914.047
298,922.377
299,898.646
300,928.556
301,937.051
302,919.395
303,908.083
304,904.000
305,894.344
306,876.473
307,911.956
308,922.448
309,892.946
310,921.662
311,918.669
312,904.000
313,904.336
314,841.194
315,816.049
316,856.160
317,880.325
318,882.938
319,897.964
320,902.360
321,888.985
322,894.900
323,898.520
324,904.880
325,889.871
326,889.051
327,923.951
328,917.860
329,878.779
330,882.470
331,930.542
332,934.003
333,925.034
334,953.739
335,952.479
336,949.843
337,956.374
338,940.209
339,947.868
340,940.363
341,929.717
342,954.707
343,987.384
344,998.344
345,1011.356
346,1048.891
347,1120.000
348,1278.091
349,1427.279
350,1587.433
351,1770.608
352,1940.341
353,2100.407
354,2124.413
355,2096.297
356,2051.433
357,1925.667
358,1773.673
359,1626.459
360,1474.135
361,1296.985
362,1171.543
363,1102.680
364,1008.165
365,968.990
366,975.175
367,956.534
368,944.572
369,916.369
370,898.146
371,931.048
372,944.000
373,958.432
374,959.334
375,912.000
376,876.127
377,879.598
378,905.574
379,906.558
380,906.553
381,906.889
382,894.536
383,923.312
384,928.000
385,907.549
386,939.142
387,947.637
388,940.044
389,952.000
390,941.871
391,939.235
392,928.000
393,908.523
394,890.966
395,896.000
396,933.271
397,947.059
398,925.695
399,900.842
400,887.802
401,883.620
402,903.774
403,889.480
404,870.575
405,896.000
406,923.076
407,902.360
408,886.690
409,885.552
410,871.675
411,864.638
412,896.028
413,920.682
414,896.671
415,896.501
416,890.663
417,898.492
418,909.012
419,901.678
420,929.370
421,932.072
422,888.281
423,878.569
424,883.917
425,916.908
426,926.949
427,918.889
428,943.939
429,945.942
430,911.070
431,908.858
432,940.693
433,940.528
434,933.089
435,939.802
436,944.000
437,931.868
438,942.674
439,936.160
440,932.627
441,964.831
442,956.171
443,931.510
444,922.988
445,900.380
446,883.059
447,909.783
448,906.052
449,873.436
450,865.722
451,865.343
452,886.960
453,942.773
454,993.629
455,978.619
456,935.268
457,936.000
458,958.393
459,959.054
460,951.928
461,935.345
462,896.259
463,915.389
464,938.944
465,928.754
466,938.757
467,904.671
468,867.241
469,883.312
470,923.158
471,932.512
472,904.000
473,917.926
474,938.239
475,944.000
476,944.000
477,922.734
478,923.598
479,942.129
480,953.689
481,958.790
482,945.761
483,947.725
484,952.000
485,927.670
486,915.780
487,954.311
488,978.201
489,952.000
490,923.120
491,919.136
492,889.684
493,867.004
494,916.325
495,951.939
496,944.000
497,931.928
498,920.996
499,915.439
500,909.876
501,902.520
502,892.556
503,896.000
504,917.574
505,910.069
506,903.043
507,959.373
508,1016.000
509,1007.951
510,968.363
511,960.347
512,957.442
513,929.354
514,925.893
515,924.028
516,937.172
517,971.989
518,1001.502
519,1060.666
520,1092.336
521,1073.975
522,1054.272
523,1055.274
524,1057.970
525,1101.287
526,1311.048
527,1707.851
528,2308.374
529,3106.729
530,4062.586
531,5183.296
532,6280.000
533,7107.890
534,7538.003
535,7686.162
536,7615.571
537,7113.871
538,6168.066
539,5129.095
540,4193.667
541,3279.373
542,2441.953
543,1823.400
544,1425.381
545,1203.587
546,1067.362
547,954.867
548,924.908
549,976.000
550,1014.784
551,1019.796
