Distance_(pixels),Gray_Value
528,905.985
529,927.124
530,938.307
531,911.942
532,870.394
533,866.248
534,880.000
535,895.445
536,892.993
537,880.146
538,869.664
539,858.949
540,868.934
541,889.547
542,877.197
543,866.248
544,887.066
545,874.949
546,862.599
547,856.000
548,852.000
549,875.883
550,908.701
551,937.401
552,931.533
553,916.496
554,920.000
555,926.453
556,904.000
557,869.898
558,848.496
559,864.146
560,922.599
561,952.555
562,928.905
563,911.007
564,909.343
565,904.000
566,885.285
567,887.124
568,896.000
569,881.547
570,894.569
571,901.372
572,876.788
573,910.920
574,955.182
575,936.000
576,934.540
577,926.774
578,910.511
579,918.861
580,912.263
581,880.292
582,832.117
583,832.788
584,904.000
585,912.000
586,866.190
587,883.328
588,951.328
589,924.058
590,844.526
591,866.044
592,909.723
593,916.234
594,902.394
595,900.088
596,910.365
597,896.000
598,882.482
599,854.219
600,841.781
601,864.672
602,847.854
603,821.577
604,853.080
605,904.000
606,922.131
607,912.000
608,889.985
609,866.131
610,864.000
611,876.642
612,900.204
613,895.679
614,853.460
615,859.825
616,912.000
617,927.766
618,912.000
619,905.168
620,912.818
621,902.949
622,880.000
623,898.832
624,919.007
625,904.964
626,910.657
627,919.679
628,909.372
629,896.380
630,909.577
631,915.387
632,905.431
633,908.146
634,908.088
635,896.642
636,882.336
637,886.423
638,917.577
639,905.139
640,862.745
641,878.861
642,899.066
643,914.715
644,891.942
645,880.672
646,910.336
647,890.190
648,888.000
649,918.569
650,903.825
651,872.146
652,880.876
653,880.788
654,904.759
655,968.000
656,1008.000
657,1009.460
658,992.000
659,944.964
660,921.080
661,921.197
662,937.314
663,974.569
664,1004.642
665,1078.336
666,1123.533
667,1092.613
668,1033.956
669,976.526
670,1040.730
671,1382.745
672,2045.489
673,3095.942
674,4495.913
675,6072.233
676,7699.913
677,9170.044
678,10115.737
679,10464.292
680,10172.088
681,9261.343
682,7970.861
683,6404.876
684,4793.226
685,3384.000
686,2275.270
687,1540.672
688,1127.854
689,981.401
690,993.168
691,1006.599
692,998.365
693,998.803
694,980.204
695,943.007
696,935.562
697,917.606
698,896.555
699,912.000
700,932.496
701,957.869
702,949.985
703,905.898
704,892.438
705,899.007
706,892.642
707,920.000
708,948.058
709,922.394
710,899.241
711,940.146
712,962.073
713,925.080
714,903.387
715,903.504
716,903.241
717,896.000
718,904.146
719,888.117
720,896.263
721,928.409
722,928.321
723,904.438
724,912.000
725,939.299
726,911.212
727,881.810
728,889.022
729,893.693
730,915.766
731,906.745
732,866.978
733,881.606
734,908.555
735,914.482
736,910.044
737,885.927
738,889.431
739,929.080
740,939.153
741,904.000
742,893.285
743,925.869
744,928.672
745,918.015
746,920.000
747,926.686
748,913.577
749,886.949
750,880.818
751,864.000
752,864.000
753,884.175
754,875.825
755,879.299
756,900.292
757,916.409
758,918.949
759,909.431
760,897.927
761,887.620
762,891.007
763,891.562
764,894.190
765,914.657
766,917.460
767,901.577
768,916.467
769,921.431
770,885.927
771,885.869
772,893.518
773,872.000
774,883.212
775,917.022
776,934.394
777,928.000
778,940.555
779,936.000
780,900.380
781,897.693
782,893.314
783,909.226
784,910.248
785,881.285
786,880.000
787,887.825
788,911.942
789,895.854
790,880.526
791,859.416
792,866.978
793,880.613
794,882.190
795,898.540
796,875.854
797,859.241
798,864.000
799,876.058
800,917.985
801,931.358
802,894.336
803,861.314
804,864.409
805,877.985
806,864.000
807,882.248
808,915.825
809,932.964
810,914.599
811,885.723
812,865.489
813,861.898
814,889.197
815,897.547
816,879.504
817,875.504
818,894.336
819,910.453
820,901.168
821,928.000
822,940.000
823,887.766
824,887.533
825,931.650
826,939.533
827,905.168
828,884.204
829,873.635
830,873.869
831,901.051
832,893.168
833,869.285
834,869.197
835,868.964
836,880.000
837,877.752
838,901.869
839,931.912
840,880.409
841,859.562
842,915.328
843,924.642
844,894.569
845,886.686
846,904.000
847,914.599
848,889.927
849,869.080
850,882.190
851,919.387
852,903.007
853,888.380
854,919.737
855,928.146
856,944.029
857,927.912
858,880.409
859,848.642
860,840.438
861,849.664
862,872.000
863,864.000
864,828.526
865,842.044
866,862.861
867,880.000
868,877.489
869,873.489
870,865.606
871,875.445
872,896.000
873,873.781
874,864.584
875,875.708
876,909.693
877,920.730
878,919.620
879,906.628
880,898.453
881,916.438
882,918.015
883,904.000
884,889.518
885,890.569
886,898.102
887,904.818
888,900.292
889,912.350
890,940.175
891,939.942
892,911.650
893,898.540
894,917.547
