Distance_(pixels),Gray_Value
0,0.000
1,0.000
2,0.000
3,0.000
4,0.000
5,0.000
6,0.000
7,0.000
8,0.000
9,0.000
10,0.000
11,0.000
12,0.000
13,0.000
14,0.000
15,0.000
16,0.000
17,0.000
18,0.000
19,0.000
20,0.000
21,0.000
22,0.000
23,0.000
24,0.000
25,0.000
26,0.000
27,0.000
28,0.000
29,0.000
30,0.000
31,893.209
32,934.076
33,933.217
34,875.704
35,879.350
36,923.675
37,910.196
38,912.000
39,929.885
40,908.308
41,925.463
42,914.194
43,913.758
44,916.805
45,920.597
46,944.101
47,963.893
48,906.062
49,888.581
50,917.100
51,946.558
52,957.792
53,930.441
54,899.353
55,921.846
56,915.686
57,934.335
58,943.733
59,925.783
60,888.350
61,864.487
62,867.032
63,916.846
64,903.643
65,900.991
66,921.621
67,898.534
68,867.552
69,880.080
70,873.693
71,864.608
72,885.321
73,929.495
74,903.263
75,908.858
76,894.850
77,891.959
78,913.772
79,886.744
80,896.583
81,856.635
82,868.443
83,901.747
84,847.083
85,886.089
86,915.208
87,879.146
88,862.121
89,885.825
90,903.100
91,908.798
92,902.609
93,869.027
94,892.336
95,931.765
96,932.063
97,902.508
98,932.714
99,925.042
100,897.254
101,909.690
102,924.513
103,911.612
104,888.169
105,837.883
106,869.803
107,914.903
108,906.089
109,930.613
110,922.345
111,870.849
112,940.044
113,936.256
114,891.898
115,889.582
116,898.465
117,889.736
118,871.507
119,866.515
120,860.416
121,892.246
122,901.299
123,920.163
124,901.488
125,894.726
126,899.419
127,881.890
128,883.325
129,902.881
130,911.865
131,899.434
132,912.035
133,924.309
134,895.155
135,883.902
136,917.593
137,866.428
138,886.462
139,924.738
140,897.933
141,896.496
142,919.629
143,900.521
144,881.610
145,867.732
146,909.140
147,921.625
148,875.850
149,868.962
150,897.547
151,923.803
152,907.867
153,882.364
154,866.482
155,879.699
156,913.456
157,913.154
158,918.149
159,942.647
160,931.172
161,908.768
162,898.250
163,858.578
164,863.217
165,888.807
166,942.559
167,893.969
168,898.808
169,926.555
170,922.321
171,903.912
172,878.358
173,877.911
174,852.813
175,874.505
176,927.628
177,905.626
178,895.303
179,900.391
180,942.890
181,890.345
182,886.098
183,881.272
184,885.470
185,881.585
186,875.508
187,926.065
188,914.988
189,916.901
190,903.278
191,924.660
192,943.239
193,916.819
194,843.736
195,803.126
196,839.679
197,872.923
198,925.794
199,899.732
200,896.441
201,942.393
202,915.772
203,869.680
204,857.157
205,873.228
206,823.056
207,884.555
208,895.529
209,907.837
210,881.642
211,891.628
212,850.565
213,855.489
214,869.547
215,883.406
216,885.934
217,884.540
218,907.452
219,896.035
220,890.079
221,901.121
222,900.388
223,932.700
224,939.054
225,915.013
226,897.713
227,863.713
228,868.663
229,874.793
230,895.645
231,906.010
232,891.560
233,893.193
234,879.799
235,873.572
236,939.210
237,900.536
238,887.843
239,885.165
240,873.664
241,854.870
242,885.798
243,876.995
244,879.800
245,907.767
246,902.047
247,869.313
248,862.881
249,872.386
250,858.460
251,869.306
252,858.749
253,857.328
254,875.917
255,884.217
256,896.640
257,899.343
258,893.426
259,886.890
260,880.806
261,928.080
262,898.198
263,871.553
264,902.212
265,874.164
266,864.348
267,897.340
268,950.061
269,980.838
270,915.211
271,885.320
272,886.424
273,869.822
274,873.167
275,863.311
276,830.169
277,876.520
278,891.190
279,856.071
280,872.390
281,918.223
282,930.955
283,880.222
284,883.304
285,872.211
286,910.611
287,898.367
288,891.625
289,942.373
290,959.783
291,926.495
292,887.940
293,912.227
294,971.584
295,953.528
296,950.431
297,937.533
298,895.641
299,879.082
300,907.590
301,932.305
302,897.260
303,870.558
304,902.071
305,928.712
306,908.411
307,902.477
308,925.101
309,899.113
310,871.558
311,888.999
312,869.187
313,873.787
314,866.486
315,850.174
316,865.023
317,910.789
318,935.247
319,912.553
320,901.182
321,918.336
322,934.520
323,895.090
324,872.522
325,898.971
326,884.303
327,884.466
328,917.799
329,949.631
330,934.200
331,891.315
332,904.158
333,877.652
334,866.966
335,900.141
336,849.402
337,876.078
338,882.304
339,879.088
340,905.334
341,886.137
342,848.236
343,855.688
344,897.043
345,916.645
346,923.170
347,897.894
348,883.029
349,918.547
350,928.335
351,917.571
352,913.222
353,872.294
354,860.571
355,943.517
356,935.345
357,935.136
358,940.738
359,914.676
360,936.972
361,976.434
362,952.357
363,875.674
364,910.662
365,923.477
366,920.100
367,903.270
368,876.206
369,923.850
370,920.328
371,913.221
372,898.063
373,894.491
374,903.124
375,871.187
376,876.109
377,922.760
378,947.540
379,905.691
380,867.681
381,866.218
382,879.647
383,869.026
384,923.548
385,931.684
386,888.526
387,859.872
388,887.186
389,860.849
390,869.779
391,873.406
392,868.269
393,884.646
394,898.364
395,886.152
396,885.980
397,903.896
398,917.698
399,908.081
400,908.760
401,915.756
402,896.320
403,898.110
404,860.863
405,936.129
406,921.585
407,905.735
408,887.236
409,970.709
410,938.354
411,940.520
412,924.282
413,901.657
414,925.415
415,927.902
416,922.168
417,965.858
418,1033.323
419,1028.574
420,1065.545
421,1081.675
422,1089.384
423,1089.729
424,1109.443
425,1115.815
426,1128.958
427,1116.913
428,1085.984
429,1004.963
430,985.545
431,1006.953
432,994.671
433,991.208
434,959.638
435,928.703
436,882.331
437,878.477
438,887.049
439,860.229
440,883.978
441,881.751
442,897.231
443,905.763
444,932.743
445,898.932
446,869.059
447,840.448
448,864.043
449,883.556
450,912.189
451,895.112
452,852.079
453,872.239
454,873.093
455,903.827
456,872.648
457,869.150
458,891.173
459,890.163
460,874.760
461,893.324
462,889.613
463,897.188
464,911.094
465,929.361
466,886.634
467,891.853
468,922.114
469,913.608
470,875.898
471,897.882
472,927.673
473,928.000
474,925.319
475,920.020
476,915.000
477,904.209
478,910.557
479,943.566
480,942.243
481,937.345
482,939.194
483,849.991
484,875.737
485,890.643
486,948.115
487,942.662
488,916.212
489,926.065
490,953.225
491,940.034
492,918.231
493,882.920
494,858.892
495,871.642
496,883.942
497,895.132
498,893.159
499,915.736
500,939.481
501,919.445
502,865.331
503,891.532
504,891.449
505,946.126
506,936.677
507,930.041
508,915.945
509,879.830
510,910.972
511,910.570
512,889.614
513,853.764
514,910.101
515,893.467
516,903.513
517,911.419
518,888.447
519,864.000
520,889.070
521,910.771
522,896.389
523,887.234
524,865.600
525,873.439
526,900.884
527,931.465
528,928.029
529,909.460
530,889.414
531,906.389
532,959.782
533,882.144
534,893.029
535,895.212
536,881.922
537,892.661
538,893.433
539,886.058
540,905.286
541,894.559
542,878.432
543,894.268
544,905.406
545,920.495
546,935.589
547,908.170
548,883.270
549,890.203
550,912.856
551,889.874
552,914.023
553,912.691
554,906.612
555,895.724
556,891.263
557,864.801
558,839.293
559,874.763
560,925.303
561,899.988
562,927.397
563,914.474
564,949.068
565,923.878
566,892.491
567,912.275
568,934.679
569,928.387
570,935.940
571,935.080
572,927.065
573,918.489
574,918.612
575,936.873
576,917.093
577,883.666
578,916.307
579,963.927
580,906.455
581,931.333
582,939.760
583,864.427
584,841.865
585,853.742
586,878.208
587,861.920
588,875.312
589,866.916
590,906.503
591,906.606
592,893.073
593,870.913
594,902.534
595,903.052
596,898.656
597,921.123
598,906.375
599,899.067
600,933.941
601,885.254
602,898.540
603,879.038
604,927.243
605,925.754
606,908.657
607,876.278
608,908.802
609,933.824
610,914.640
611,844.791
612,889.153
613,908.555
614,903.131
615,943.980
616,889.123
617,840.007
618,823.010
619,864.431
620,873.726
621,887.198
622,887.655
623,879.443
624,895.923
625,905.790
626,872.774
627,864.328
628,909.400
629,878.666
630,875.185
631,871.255
632,802.706
633,888.386
634,911.466
635,922.006
636,925.274
637,935.805
638,946.668
639,931.390
640,910.863
641,932.695
642,936.861
643,925.661
644,905.305
645,880.074
646,871.474
647,878.149
648,900.183
649,894.893
650,906.058
651,911.409
652,905.464
653,920.015
654,909.844
655,895.095
656,885.619
657,895.867
658,883.750
659,932.894
660,954.844
661,970.057
662,956.683
663,984.601
664,961.269
665,941.713
666,912.479
667,881.278
668,874.172
669,903.446
670,913.793
671,917.636
672,921.627
673,897.304
674,905.631
675,939.388
676,990.071
677,941.305
678,904.812
679,954.048
680,938.324
681,863.091
682,863.446
683,871.764
684,877.989
685,938.365
686,879.070
687,873.290
688,893.273
689,925.385
690,931.016
691,935.995
692,905.340
693,899.321
694,928.554
695,939.886
696,892.844
697,899.130
698,901.503
699,904.919
700,900.181
701,899.264
702,886.939
703,913.287
704,917.074
705,894.821
706,913.460
707,944.443
