Distance_(pixels),Gray_Value
0,92.3973
1,93.8786
2,93.0435
3,93.6117
4,92.2459
5,93.1484
6,93.2864
7,93.8786
8,94.7571
9,94.6627
10,94.6507
11,93.2729
12,93.9790
13,94.1379
14,93.5502
15,94.0870
16,94.4918
17,93.6822
18,93.9055
19,95.7751
20,94.6432
21,95.3328
22,94.2924
23,95.9685
24,95.5922
25,95.0750
26,95.8246
27,93.9490
28,94.2219
29,94.5082
30,94.2939
31,94.7616
32,95.5472
33,97.5202
34,94.1814
35,94.9475
36,95.8486
37,94.2549
38,94.8021
39,95.4468
40,95.4393
41,94.6612
42,95.2459
43,93.8516
44,94.3688
45,95.9190
46,96.7871
47,93.6822
48,93.9805
49,94.1724
50,96.3193
51,95.5112
52,95.1169
53,94.9010
54,94.9370
55,96.2174
56,95.8651
57,94.9850
58,95.8951
59,96.1184
60,95.5787
61,90.5247
62,92.7991
63,96.4498
64,94.1799
65,94.6177
66,95.4603
67,98.0120
68,96.3133
69,97.9040
70,96.4663
71,95.4603
72,97.3028
73,94.1064
74,96.0765
75,97.0945
76,95.3973
77,95.9415
78,97.4798
79,97.0165
80,97.3613
81,96.0330
82,97.1244
83,97.3553
84,97.7571
85,96.3913
86,96.2924
87,99.2099
88,96.7421
89,97.9220
90,96.6972
91,97.7931
92,95.5517
93,97.3928
94,98.6447
95,95.8591
96,99.0405
97,98.3973
98,97.0915
99,98.5292
100,101.3568
101,100.8666
102,97.3898
103,97.5727
104,96.5727
105,97.7871
106,96.8576
107,98.0135
108,98.0825
109,98.0060
110,98.3433
111,98.4288
112,99.1304
113,98.8951
114,98.1859
115,97.2924
116,98.9775
117,98.5652
118,99.0960
119,102.3733
120,105.5967
121,105.2579
122,100.5487
123,99.4903
124,96.9625
125,99.0180
126,98.2774
127,98.8261
128,98.9805
129,97.0900
130,98.7391
131,98.1064
132,99.3013
133,98.7346
134,97.5472
135,98.9055
136,100.2624
137,99.8081
138,100.7196
139,105.9460
140,106.6162
141,105.0855
142,100.3643
143,100.6132
144,98.0705
145,100.8666
146,102.1769
147,100.9310
148,99.3403
149,98.3178
150,99.7901
151,102.1484
152,101.5787
153,97.4768
154,99.4663
155,99.9055
156,100.6177
157,98.8606
158,103.4693
159,108.2759
160,107.1259
161,104.2249
162,103.6447
163,100.8816
164,101.2864
165,101.7931
166,104.8621
167,105.3808
168,104.8261
169,101.6837
170,100.2114
171,101.7346
172,101.8246
173,99.5802
174,103.6912
175,99.3298
176,102.7526
177,106.8816
178,110.0810
179,108.5352
180,102.8606
181,101.4423
182,107.2009
183,108.2384
184,107.0150
185,102.7691
186,101.6117
187,101.6627
188,102.8561
189,102.5052
190,103.1559
191,104.2834
192,108.5697
193,108.7346
194,107.0885
195,102.7901
196,102.6717
197,103.2534
198,107.9685
199,108.4078
200,105.5023
201,103.4768
202,103.7991
203,102.2234
204,103.7511
205,102.9400
206,103.7376
207,106.6222
208,108.4333
209,106.2759
210,103.1439
211,102.7496
212,104.2024
213,105.4408
214,107.4168
215,108.8426
216,103.6882
217,104.3553
218,104.8111
219,103.5367
220,104.4423
221,104.5667
222,104.0915
223,105.8006
224,109.3733
225,113.3328
226,112.4003
227,106.8756
228,101.8426
229,102.4033
230,104.5967
231,102.8666
232,105.2744
233,104.5442
234,105.1769
235,107.8246
236,112.3343
237,113.6372
238,112.1769
239,105.9295
240,104.2564
241,103.5262
242,104.9715
243,106.4933
244,106.0780
245,105.8576
246,105.4678
247,105.6717
248,110.4378
249,111.3628
250,106.2414
251,106.8306
252,105.5082
253,103.8126
254,105.8801
255,106.7496
256,105.3568
257,104.6972
258,104.6657
259,105.4468
260,108.2339
261,106.7751
262,106.7706
263,107.3418
264,105.9175
265,104.8621
266,105.9220
267,104.6702
268,105.6762
269,111.7976
270,113.2999
271,111.4423
272,108.0615
273,107.7556
274,107.3208
275,106.2024
276,111.4588
277,115.4843
278,117.6822
279,115.2579
280,107.4363
281,107.9490
282,108.4618
283,108.8066
284,109.9100
285,117.8306
286,118.9685
287,114.7616
288,110.5352
289,107.7811
290,108.0390
291,108.0495
292,107.6867
293,113.7106
294,114.3283
295,108.8261
296,108.6222
297,107.9715
298,109.8066
299,109.6192
300,108.9085
301,109.6012
302,108.2714
303,110.1859
304,108.5097
305,109.3013
306,108.4423
307,108.0720
308,107.7736
309,107.3328
310,108.8576
311,109.2189
312,107.7031
313,109.3103
314,107.9040
315,107.1139
316,108.7646
317,108.6702
318,109.3613
319,108.8306
320,111.5023
321,115.3643
322,112.1724
323,110.8531
324,117.5652
325,122.2429
326,120.0825
327,112.4108
328,114.4873
329,125.2729
330,125.2354
331,116.5157
332,115.6507
333,122.1754
334,123.5307
335,124.2804
336,123.5112
337,120.3418
338,122.3448
339,126.4723
340,124.3973
341,117.3823
342,120.1020
343,119.4783
344,113.3283
345,110.7166
346,113.1529
347,111.5547
348,108.6237
349,111.5067
350,111.7271
351,112.1064
352,113.5457
353,111.2294
354,110.3823
355,111.5337
356,110.9370
357,111.7241
358,112.3793
359,113.4033
360,112.8666
361,113.6387
362,111.4648
363,113.9280
364,112.9145
365,113.9745
366,113.1859
367,114.3478
368,113.0360
369,113.4783
370,114.4558
371,116.5712
