Distance_(pixels),Gray_Value
454,117.6988
455,115.3890
456,114.6081
457,115.3170
458,114.9020
459,119.7262
460,120.9323
461,116.9395
462,120.0173
463,126.8804
464,123.2032
465,121.2190
466,129.5087
467,132.3919
468,128.2320
469,126.3501
470,128.3357
471,128.6109
472,129.0620
473,126.3718
474,121.7392
475,123.8055
476,131.4424
477,130.4150
478,122.0418
479,118.3948
480,125.3026
481,127.1441
482,121.8271
483,114.2305
484,117.0014
485,120.0014
486,117.4654
487,116.1844
488,114.5231
489,112.4049
490,113.5086
491,111.6081
492,114.3833
493,115.3963
494,115.9496
495,112.9971
496,113.8991
497,113.2709
498,114.9467
499,113.8516
500,113.7046
501,113.1787
502,112.6124
503,113.3401
504,113.1210
505,114.7997
506,115.5591
507,112.4467
508,113.3833
509,112.2968
510,115.4467
511,114.5562
512,121.0922
513,119.0086
514,113.1311
515,114.5519
516,114.5764
517,114.8674
518,114.9928
519,117.7363
520,124.3746
521,122.2320
522,116.3184
523,115.6686
524,114.0980
525,113.7305
526,114.4424
527,120.3631
528,124.3963
529,121.8977
530,114.5216
531,112.4755
532,113.3876
533,111.7406
534,113.5533
535,118.2061
536,117.7954
537,116.8732
538,111.8127
539,112.0403
540,112.7594
541,111.5850
542,109.1153
543,113.0980
544,115.0850
545,113.4280
546,114.3919
547,111.7089
548,113.0648
549,111.6383
550,112.8199
551,111.7219
552,113.3775
553,110.0375
554,111.5778
555,111.5836
556,112.7565
557,118.6671
558,116.0677
559,110.5533
560,109.7061
561,112.4006
562,112.5620
563,112.2190
564,111.5908
565,110.0144
566,112.1470
567,111.4755
568,116.7622
569,121.0086
570,117.5259
571,112.4856
572,108.8084
573,110.3573
574,111.1455
575,110.2147
576,109.7349
577,111.0908
578,110.9078
579,113.3674
580,116.9813
581,115.5735
582,114.6311
583,110.5591
584,109.5490
585,108.6023
586,109.0288
587,110.5778
588,110.4496
589,110.5519
590,112.0288
591,113.1715
592,113.6182
593,110.0576
594,108.0706
595,109.9006
596,108.2752
597,112.5908
598,112.8372
599,110.7176
600,110.2176
601,108.4049
602,110.3040
603,110.0591
604,109.2421
605,107.6974
606,110.5274
607,112.0980
608,111.4251
609,110.7594
610,109.8775
611,109.6585
612,111.7824
613,116.1340
614,116.9539
615,111.4280
616,109.0360
617,110.4265
618,105.8775
619,109.0202
620,109.2147
621,109.1369
622,113.7190
623,113.6585
624,111.6527
625,106.8718
626,108.8184
627,115.0490
628,113.4798
629,112.8084
630,111.4712
631,106.1239
632,107.1902
