Distance_(pixels),Gray_Value
0,95.6327
1,95.6449
2,92.8918
3,95.0102
4,98.6327
5,98.8755
6,95.9755
7,97.7571
8,99.3265
9,97.3551
10,99.7490
11,101.9367
12,99.7041
13,98.2204
14,97.2755
15,95.1408
16,97.2408
17,102.0408
18,98.7469
19,96.4857
20,101.2796
21,101.4551
22,97.5327
23,97.1367
24,100.6143
25,102.7898
26,98.6714
27,96.7163
28,98.0082
29,98.8796
30,97.0367
31,98.5816
32,98.8837
33,99.5449
34,100.4184
35,96.5735
36,97.5306
37,100.0327
38,98.9878
39,97.9959
40,98.6041
41,99.7367
42,98.5367
43,97.0163
44,100.5510
45,98.6735
46,97.9306
47,98.6347
48,100.2082
49,96.7796
50,98.7755
51,101.6204
52,98.8939
53,98.2245
54,98.6816
55,101.0735
56,98.6898
57,98.7469
58,98.4653
59,98.5469
60,96.9612
61,96.5796
62,100.2020
63,97.5571
64,99.6918
65,101.8633
66,96.8551
67,99.4327
68,102.1388
69,98.8102
70,100.0143
71,98.5327
72,98.0776
73,103.3041
74,101.4939
75,98.5510
76,99.7367
77,100.9653
78,100.8020
79,99.4837
80,96.7796
81,99.2551
82,98.2694
83,99.4347
84,98.3653
85,99.2306
86,100.6612
87,97.3673
88,96.0878
89,98.6469
90,99.1796
91,98.5245
92,99.1653
93,101.6612
94,102.9327
95,99.0061
96,97.8612
97,101.2837
98,101.9633
99,102.1163
100,100.9449
101,102.3775
102,101.2041
103,100.2388
104,100.8735
105,101.9592
106,103.6020
107,104.1857
108,101.2020
109,101.2531
110,99.9265
111,99.8490
112,99.4143
113,98.7531
114,102.7408
115,103.0571
116,100.1592
117,99.9755
118,96.7551
119,100.9612
120,100.6878
121,100.2531
122,100.9245
123,99.4224
124,100.6184
125,106.1347
126,108.9327
127,109.9224
128,104.6694
129,103.1510
130,102.9204
131,103.4837
132,100.1531
133,102.2837
134,102.3592
135,100.7939
136,98.4755
137,98.6490
138,98.7204
139,99.0469
140,100.9796
141,102.1898
142,104.8571
143,101.8939
144,104.8408
145,111.3204
146,111.9755
147,107.4408
148,105.8408
149,103.6429
150,100.6163
151,100.8735
152,103.0980
153,101.4490
154,100.0878
155,100.3204
156,100.7122
157,102.7469
158,104.1204
159,106.6857
160,103.5020
161,102.8755
162,102.9918
163,101.1122
164,106.2878
165,111.5367
166,107.1388
167,105.0735
168,105.8939
169,104.2837
170,103.6980
171,103.3163
172,105.5776
173,107.1673
174,106.1633
175,105.3592
176,104.3939
177,106.5327
178,104.3592
179,102.3612
180,103.5184
181,102.6286
182,103.3694
183,108.6878
184,109.4633
185,109.5224
186,107.3163
187,105.3857
188,108.9449
189,112.5714
190,111.1633
191,105.5918
192,107.5571
193,108.0367
194,105.0122
195,105.2245
196,107.5082
197,106.5163
198,112.5286
